run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,subset_fraction,twirling_enabled,bloch_r_init,bloch_r_final
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,32,8,4,0.2,True,0.9799999999999996,1.0
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,40,8,5,0.2,True,0.9799999999999996,1.0
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,48,8,6,0.2,True,0.9799999999999996,1.0
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,56,8,7,0.2,True,0.9799999999999996,1.0
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,64,8,8,0.2,True,0.9799999999999996,1.0
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,72,8,9,0.2,True,0.9799999999999996,1.0
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999998,0.0100000000000001,1.1102230246251563e-16,0.9801999999999992,1.0,1.1102230246251431e-14,80,8,10,0.2,True,0.9799999999999996,1.0
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.5838860799999989,0.1,0.4161139200000001,0.8199999999999992,0.5140737488355309,4.161139199999997,0,8,0,0.2,True,0.7999999999999996,0.1677721599999996
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9841231379419364,0.1,0.0158768620580632,0.8199999999999992,0.9687504253814948,0.1587686205806325,8,8,1,0.2,True,0.7999999999999996,0.9682462758838732
M1_N256_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9998467755211315,0.1,0.0001532244788681,0.8199999999999992,0.9996935979977452,0.0015322447886817,16,8,2,0.2,True,0.7999999999999996,0.9996935510422634
