run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,subset_fraction,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,7,128,128,dephase_z,iid_p,0.2,0.2,3.9402006196392113e-13,0,True,0.2,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,8,256,256,dephase_z,iid_p,0.2,0.2,1.5525180923005225e-25,0,True,0.2,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,9,512,512,dephase_z,iid_p,0.2,0.2,2.410312426920456e-50,0,True,0.2,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,10,1024,1024,dephase_z,iid_p,0.2,0.2,5.80960599536719e-100,0,True,0.2,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,0,1,1,dephase_z,iid_p,0.3,0.3,1.0,0,True,0.2,0,0.6999999999999996,0.2999999999999999,0.5799999999999995,0.3999999999999999,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,1,2,2,dephase_z,iid_p,0.3,0.3,0.5799999999999995,0,True,0.2,1,0.8448275862068965,0.1551724137931032,0.7378121284185495,0.6896551724137933,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,2,4,4,dephase_z,iid_p,0.3,0.3,0.2481999999999996,0,True,0.2,2,0.9673650282030616,0.0326349717969378,0.9368601391744978,0.934730056406124,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,3,8,8,dephase_z,iid_p,0.3,0.3,0.0577136199999998,0,True,0.2,3,0.9988631799564812,0.0011368200435182,0.9977289446325858,0.9977263599129632,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,4,16,16,dephase_z,iid_p,0.3,0.3,0.0033232973616321,0,True,0.2,4,0.9999987046984872,1.2953015126604406e-06,0.99999740940033,0.9999974093969743,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,5,32,32,dephase_z,iid_p,0.3,0.3,1.10442767424576e-05,0,True,0.2,5,0.999999999998322,1.677658012511074e-12,0.9999999999966444,0.9999999999966444,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
M1_N2_dephase_z_iid_p_p0.30000_twirl_sub0.20,1,0,1,6,64,64,dephase_z,iid_p,0.3,0.3,1.2197604876358042e-10,0,True,0.2,6,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.6999999999999996,0.0,0.2999999999999999,0.9999999999999996,0.5799999999999995
