noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,3,16,0.2,0,1,4,5,4.0,15,0,0.012614950049995688,0.012614950049995688,0.012614950049995688,4.0,[4],True,Depolarizing_d3_delta0.200
depolarizing,3,16,0.3,0,1,4,5,4.0,15,0,0.024125227024569096,0.024125227024569096,0.024125227024569096,4.0,[4],True,Depolarizing_d3_delta0.300
depolarizing,3,16,0.4,0,1,4,5,4.0,15,0,0.042230177109146595,0.042230177109146595,0.042230177109146595,4.0,[4],True,Depolarizing_d3_delta0.400
depolarizing,3,16,0.5,0,1,4,5,4.0,15,0,0.07159180342659936,0.07159180342659936,0.07159180342659936,4.0,[4],True,Depolarizing_d3_delta0.500
depolarizing,3,16,0.7,0,1,4,5,4.0,15,0,0.2006837953095637,0.2006837953095637,0.2006837953095637,4.0,[4],True,Depolarizing_d3_delta0.700
depolarizing,3,16,0.8,0,1,4,5,4.0,15,0,0.32553577620239654,0.32553577620239654,0.32553577620239654,4.0,[4],True,Depolarizing_d3_delta0.800
depolarizing,3,16,0.9,0,1,4,5,4.0,15,0,0.49209341184452526,0.49209341184452526,0.49209341184452526,4.0,[4],True,Depolarizing_d3_delta0.900
depolarizing,3,32,0.01,0,1,5,6,5.0,31,0,0.0002124303062912928,0.0002124303062912928,0.0002124303062912928,6.4,[5],True,Depolarizing_d3_delta0.010
depolarizing,3,32,0.1,0,1,5,6,5.0,31,0,0.0025557861385566336,0.0025557861385566336,0.0025557861385566336,6.4,[5],True,Depolarizing_d3_delta0.100
depolarizing,3,32,0.2,0,1,5,6,5.0,31,0,0.0064275756634645615,0.0064275756634645615,0.0064275756634645615,6.4,[5],True,Depolarizing_d3_delta0.200
depolarizing,3,32,0.3,0,1,5,6,5.0,31,0,0.01250433160580148,0.01250433160580148,0.01250433160580148,6.4,[5],True,Depolarizing_d3_delta0.300
depolarizing,3,32,0.4,0,1,5,6,5.0,31,0,0.0224802105930626,0.0224802105930626,0.0224802105930626,6.4,[5],True,Depolarizing_d3_delta0.400
depolarizing,3,32,0.5,0,1,5,6,5.0,31,0,0.03977169144635543,0.03977169144635543,0.03977169144635543,6.4,[5],True,Depolarizing_d3_delta0.500
depolarizing,3,32,0.7,0,1,5,6,5.0,31,0,0.13310127376169603,0.13310127376169603,0.13310127376169603,6.4,[5],True,Depolarizing_d3_delta0.700
depolarizing,3,32,0.8,0,1,5,6,5.0,31,0,0.25102816404180955,0.25102816404180955,0.25102816404180955,6.4,[5],True,Depolarizing_d3_delta0.800
depolarizing,3,32,0.9,0,1,5,6,5.0,31,0,0.44463411747986586,0.44463411747986586,0.44463411747986586,6.4,[5],True,Depolarizing_d3_delta0.900
depolarizing,3,64,0.01,0,1,6,7,6.0,63,0,0.00010624900171629648,0.00010624900171629648,0.00010624900171629648,10.666666666666666,[6],True,Depolarizing_d3_delta0.010
depolarizing,3,64,0.1,0,1,6,7,6.0,63,0,0.0012827983537557024,0.0012827983537557024,0.0012827983537557024,10.666666666666666,[6],True,Depolarizing_d3_delta0.100
depolarizing,3,64,0.2,0,1,6,7,6.0,63,0,0.003244872383388738,0.003244872383388738,0.003244872383388738,10.666666666666666,[6],True,Depolarizing_d3_delta0.200
depolarizing,3,64,0.3,0,1,6,7,6.0,63,0,0.0063701629895981755,0.0063701629895981755,0.0063701629895981755,10.666666666666666,[6],True,Depolarizing_d3_delta0.300
depolarizing,3,64,0.4,0,1,6,7,6.0,63,0,0.01162333480255473,0.01162333480255473,0.01162333480255473,10.666666666666666,[6],True,Depolarizing_d3_delta0.400
depolarizing,3,64,0.5,0,1,6,7,6.0,63,0,0.021095260615772604,0.021095260615772604,0.021095260615772604,10.666666666666666,[6],True,Depolarizing_d3_delta0.500
depolarizing,3,64,0.7,0,1,6,7,6.0,63,0,0.08064164768193945,0.08064164768193945,0.08064164768193945,10.666666666666666,[6],True,Depolarizing_d3_delta0.700
depolarizing,3,64,0.8,0,1,6,7,6.0,63,0,0.17742021875601025,0.17742021875601025,0.17742021875601025,10.666666666666666,[6],True,Depolarizing_d3_delta0.800
depolarizing,3,64,0.9,0,1,6,7,6.0,63,0,0.38619427235649323,0.38619427235649323,0.38619427235649323,10.666666666666666,[6],True,Depolarizing_d3_delta0.900
depolarizing,3,128,0.01,0,1,7,8,7.0,127,0,5.313296794562383e-05,5.313296794562383e-05,5.313296794562383e-05,18.285714285714285,[7],True,Depolarizing_d3_delta0.010
depolarizing,3,128,0.1,0,1,7,8,7.0,127,0,0.0006426341466819382,0.0006426341466819382,0.0006426341466819382,18.285714285714285,[7],True,Depolarizing_d3_delta0.100
depolarizing,3,128,0.2,0,1,7,8,7.0,127,0,0.0016303458805392672,0.0016303458805392672,0.0016303458805392672,18.285714285714285,[7],True,Depolarizing_d3_delta0.200
depolarizing,3,128,0.3,0,1,7,8,7.0,127,0,0.0032156123490087265,0.0032156123490087265,0.0032156123490087265,18.285714285714285,[7],True,Depolarizing_d3_delta0.300
depolarizing,3,128,0.4,0,1,7,8,7.0,127,0,0.005913579188154901,0.005913579188154901,0.005913579188154901,18.285714285714285,[7],True,Depolarizing_d3_delta0.400
depolarizing,3,128,0.5,0,1,7,8,7.0,127,0,0.010884869055644822,0.010884869055644822,0.010884869055644822,18.285714285714285,[7],True,Depolarizing_d3_delta0.500
depolarizing,3,128,0.7,0,1,7,8,7.0,127,0,0.04538517019519742,0.04538517019519742,0.04538517019519742,18.285714285714285,[7],True,Depolarizing_d3_delta0.700
depolarizing,3,128,0.8,0,1,7,8,7.0,127,0,0.11413488070237883,0.11413488070237883,0.11413488070237883,18.285714285714285,[7],True,Depolarizing_d3_delta0.800
depolarizing,3,128,0.9,0,1,7,8,7.0,127,0,0.3174792281513128,0.3174792281513128,0.3174792281513128,18.285714285714285,[7],True,Depolarizing_d3_delta0.900
depolarizing,3,256,0.01,0,1,8,9,8.0,255,0,2.6568601363334093e-05,2.6568601363334093e-05,2.6568601363334093e-05,32.0,[8],True,Depolarizing_d3_delta0.010
depolarizing,3,256,0.1,0,1,8,9,8.0,255,0,0.0003216269068166966,0.0003216269068166966,0.0003216269068166966,32.0,[8],True,Depolarizing_d3_delta0.100
