run_id,M,N,noise,mode,delta,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,error_reduction_ratio,max_depth
M4_N512_depolarizing_iid_p_d0.80000,4,512,depolarizing,iid_p,0.8,0.6000000000000001,0.1295999999999998,0.0891345939667642,0.8703999999999998,0.9202983989274308,1.0573281237677288,9
M4_N512_depolarizing_iid_p_d0.90000,4,512,depolarizing,iid_p,0.9,0.675,0.0915062499999998,0.0733316363422482,0.9084937499999992,0.9357715340567712,1.0300252853217449,9
M4_N512_depolarizing_iid_p_d0.95000,4,512,depolarizing,iid_p,0.95,0.7124999999999999,0.075969140625,0.0674011207431049,0.9240308593749996,0.9416505597628504,1.0190683029782883,9
M4_N512_depolarizing_iid_p_d0.99000,4,512,depolarizing,iid_p,0.99,0.7424999999999999,0.065037750625,0.0634063084981996,0.934962249375,0.9456565413239024,1.011438207217512,9
M4_N1024_depolarizing_iid_p_d0.01000,4,1024,depolarizing,iid_p,0.01,0.0075,0.9801495006249996,0.965424907996667,0.0198504993749994,0.0358747837993312,1.8072484284457528,10
M4_N1024_depolarizing_iid_p_d0.10000,4,1024,depolarizing,iid_p,0.1,0.075,0.8145062499999998,0.7019869943923407,0.1854937499999995,0.3078696739416545,1.6597307129844283,10
M4_N1024_depolarizing_iid_p_d0.50000,4,1024,depolarizing,iid_p,0.5,0.375,0.31640625,0.182078509790799,0.6835937499999998,0.8316980980721258,1.2166555034655102,10
M4_N1024_depolarizing_iid_p_d0.70000,4,1024,depolarizing,iid_p,0.7,0.5249999999999999,0.1785062499999999,0.1066027427371379,0.8214937499999997,0.9050524901494036,1.1017156127473933,10
M4_N1024_depolarizing_iid_p_d0.80000,4,1024,depolarizing,iid_p,0.8,0.6000000000000001,0.1295999999999998,0.0860076530384592,0.8703999999999998,0.9250360908362928,1.062771244067432,10
M4_N1024_depolarizing_iid_p_d0.90000,4,1024,depolarizing,iid_p,0.9,0.675,0.0915062499999998,0.0720117005342626,0.9084937499999992,0.9387578360938056,1.0333123767706782,10
M4_N1024_depolarizing_iid_p_d0.95000,4,1024,depolarizing,iid_p,0.95,0.7124999999999999,0.075969140625,0.0667955171971526,0.9240308593749996,0.9439559834524132,1.0215632669355768,10
M4_N1024_depolarizing_iid_p_d0.99000,4,1024,depolarizing,iid_p,0.99,0.7424999999999999,0.065037750625,0.0632932630613918,0.934962249375,0.9474972484373504,1.0134069574153712,10
M5_N2_depolarizing_iid_p_d0.01000,5,2,depolarizing,iid_p,0.01,0.0075,0.9752487531218748,0.97403277817749,0.0247512468781243,0.0260141740305007,1.0510247891185056,1
M5_N2_depolarizing_iid_p_d0.10000,5,2,depolarizing,iid_p,0.1,0.075,0.7737809374999998,0.7643827884615378,0.2262190624999994,0.235998320109664,1.0432291492219607,1
M5_N2_depolarizing_iid_p_d0.50000,5,2,depolarizing,iid_p,0.5,0.375,0.2373046875,0.226004464285714,0.7626953124999996,0.7745860413408324,1.015590405035868,1
