noise_type,dimension,N,physical_error_rates,best_final_errors,average_final_errors,output_counts,memory_usage,convergence_mask,estimated_threshold
depolarizing,4,128,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.000723407385916891, 0.0015390933676884544, 0.0027095152285046553, 0.004446924597143381, 0.007138638344708875, 0.01154103481684654, 0.019256555818688792, 0.03401913013867591, 0.06543151861656307, 0.13939386338897564, 0.311153099994873, 0.5891100899860575]","[0.000723407385916891, 0.0015390933676884544, 0.0027095152285046553, 0.004446924597143381, 0.007138638344708875, 0.01154103481684654, 0.019256555818688792, 0.03401913013867591, 0.06543151861656307, 0.13939386338897564, 0.311153099994873, 0.5891100899860575]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,4,256,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0003620526979493943, 0.0007711271040866108, 0.001359658554008103, 0.0022366749929709773, 0.0036034135779141885, 0.005859824762671023, 0.009877851902825974, 0.017794058265563156, 0.03566086849912142, 0.08349212571821885, 0.2279196014982699, 0.5486850356104164]","[0.0003620526979493943, 0.0007711271040866108, 0.001359658554008103, 0.0022366749929709773, 0.0036034135779141885, 0.005859824762671023, 0.009877851902825974, 0.017794058265563156, 0.03566086849912142, 0.08349212571821885, 0.2279196014982699, 0.5486850356104164]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,4,512,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00018111375289625586, 0.000385960129524493, 0.0006810625620657096, 0.001121676366851343, 0.0018103787592450848, 0.0029528710161819682, 0.0050042941012759246, 0.009109981099023862, 0.01869314977409292, 0.04658051871237903, 0.15199686798621784, 0.49771349663610054]","[0.00018111375289625586, 0.000385960129524493, 0.0006810625620657096, 0.001121676366851343, 0.0018103787592450848, 0.0029528710161819682, 0.0050042941012759246, 0.009109981099023862, 0.01869314977409292, 0.04658051871237903, 0.15199686798621784, 0.49771349663610054]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,4,1024,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[9.057874655593601e-05, 0.00019307939407223196, 0.0003408406171206413, 0.0005616774255791102, 0.0009073763370786303, 0.0014822570468616125, 0.0025188840603171947, 0.004610569618013899, 0.009581693786747753, 0.024769846268910878, 0.0924814273857909, 0.4347155416510522]","[9.057874655593601e-05, 0.00019307939407223196, 0.0003408406171206413, 0.0005616774255791102, 0.0009073763370786303, 0.0014822570468616125, 0.0025188840603171947, 0.004610569618013899, 0.009581693786747753, 0.024769846268910878, 0.0924814273857909, 0.4347155416510522]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
symmetric_pauli,2,8,"[0.05, 0.13333333333333333, 0.21666666666666667, 0.3, 0.3833333333333333, 0.4666666666666666, 0.55, 0.6333333333333333, 0.7166666666666667, 0.8]","[0.05709903727884628, 0.2371038803856004, 0.44363133021906975, 0.5507027039679605, nan, nan, nan, nan, nan, nan]","[0.05709903727884628, 0.2371038803856004, 0.44363133021906975, 0.5507027039679605, nan, nan, nan, nan, nan, nan]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[3, 3, 3, 3, 0, 0, 0, 0, 0, 0]","[False, False, False, False, False, False, False, False, False, False]",
symmetric_pauli,2,16,"[0.05, 0.13333333333333333, 0.21666666666666667, 0.3, 0.3833333333333333, 0.4666666666666666, 0.55, 0.6333333333333333, 0.7166666666666667, 0.8]","[0.0511087058796705, 0.2286904443109, 0.44666840476474984, 0.5405121724980627, nan, nan, nan, nan, nan, nan]","[0.0511087058796705, 0.2286904443109, 0.44666840476474984, 0.5405121724980627, nan, nan, nan, nan, nan, nan]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[4, 4, 4, 4, 0, 0, 0, 0, 0, 0]","[False, False, False, False, False, False, False, False, False, False]",
symmetric_pauli,2,32,"[0.05, 0.13333333333333333, 0.21666666666666667, 0.3, 0.3833333333333333, 0.4666666666666666, 0.55, 0.6333333333333333, 0.7166666666666667, 0.8]","[0.04732491384853757, 0.22107151696588237, 0.4495305325159825, 0.5323842259210183, nan, nan, nan, nan, nan, nan]","[0.04732491384853757, 0.22107151696588237, 0.4495305325159825, 0.5323842259210183, nan, nan, nan, nan, nan, nan]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[5, 5, 5, 5, 0, 0, 0, 0, 0, 0]","[False, False, False, False, False, False, False, False, False, False]",
symmetric_pauli,2,64,"[0.05, 0.13333333333333333, 0.21666666666666667, 0.3, 0.3833333333333333, 0.4666666666666666, 0.55, 0.6333333333333333, 0.7166666666666667, 0.8]","[0.044970216603059866, 0.21425125283369215, 0.4522295088427705, 0.5258943456712553, nan, nan, nan, nan, nan, nan]","[0.044970216603059866, 0.21425125283369215, 0.4522295088427705, 0.5258943456712553, nan, nan, nan, nan, nan, nan]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[6, 6, 6, 6, 0, 0, 0, 0, 0, 0]","[True, False, False, False, False, False, False, False, False, False]",0.05
symmetric_pauli,2,128,"[0.05, 0.13333333333333333, 0.21666666666666667, 0.3, 0.3833333333333333, 0.4666666666666666, 0.55, 0.6333333333333333, 0.7166666666666667, 0.8]","[0.043518632679870765, 0.20821078897346196, 0.45477607997421615, 0.5207088114427764, nan, nan, nan, nan, nan, nan]","[0.043518632679870765, 0.20821078897346196, 0.45477607997421615, 0.5207088114427764, nan, nan, nan, nan, nan, nan]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 7, 0, 0, 0, 0, 0, 0]","[True, False, False, False, False, False, False, False, False, False]",0.05
symmetric_pauli,2,256,"[0.05, 0.13333333333333333, 0.21666666666666667, 0.3, 0.3833333333333333, 0.4666666666666666, 0.55, 0.6333333333333333, 0.7166666666666667, 0.8]","[0.042629039163811173, 0.20291281480115164, 0.4571800707284958, 0.5165636395234222, nan, nan, nan, nan, nan, nan]","[0.042629039163811173, 0.20291281480115164, 0.4571800707284958, 0.5165636395234222, nan, nan, nan, nan, nan, nan]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[8, 8, 8, 8, 0, 0, 0, 0, 0, 0]","[True, False, False, False, False, False, False, False, False, False]",0.05
symmetric_pauli,2,512,"[0.05, 0.13333333333333333, 0.21666666666666667, 0.3, 0.3833333333333333, 0.4666666666666666, 0.55, 0.6333333333333333, 0.7166666666666667, 0.8]","[0.0420858360445642, 0.19830660520177237, 0.45945049259960813, 0.5132491668360362, nan, nan, nan, nan, nan, nan]","[0.0420858360445642, 0.19830660520177237, 0.45945049259960813, 0.5132491668360362, nan, nan, nan, nan, nan, nan]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 9, 0, 0, 0, 0, 0, 0]","[True, False, False, False, False, False, False, False, False, False]",0.05
symmetric_pauli,2,1024,"[0.05, 0.13333333333333333, 0.21666666666666667, 0.3, 0.3833333333333333, 0.4666666666666666, 0.55, 0.6333333333333333, 0.7166666666666667, 0.8]","[0.04175488440437824, 0.19433291105441608, 0.4615956357043696, 0.5105984404505692, nan, nan, nan, nan, nan, nan]","[0.04175488440437824, 0.19433291105441608, 0.4615956357043696, 0.5105984404505692, nan, nan, nan, nan, nan, nan]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0]","[True, False, False, False, False, False, False, False, False, False]",0.05
