run_id,M,N,p,noise_type,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,num_noise_realizations,error_message
batch_M2_N16_p0.5000_depolarizing,2,16,0.5,depolarizing,4,47,0.3216783217,0.04364013672,16384,ibm_torino,20,47,8,
batch_M2_N16_p0.5000_dephasing,2,16,0.5,dephasing,4,47,0.306156406,0.03089021382,19456,ibm_torino,20,47,8,
batch_M2_N16_p0.6000_depolarizing,2,16,0.6,depolarizing,4,47,0.2009724473,0.0273881392,22528,ibm_torino,20,47,8,
batch_M2_N16_p0.6000_dephasing,2,16,0.6,dephasing,4,47,0.1163859112,0.02772588315,23552,ibm_torino,20,47,8,
batch_M2_N16_p0.7000_depolarizing,2,16,0.7,depolarizing,4,47,0.1232323232,0.02197265625,22528,ibm_torino,20,47,8,
batch_M2_N16_p0.7000_dephasing,2,16,0.7,dephasing,4,47,0.06550218341,0.03049538352,22528,ibm_torino,20,47,8,
batch_M2_N16_p0.8000_depolarizing,2,16,0.8,depolarizing,4,47,0.2944038929,0.02229817708,18432,ibm_torino,20,47,8,
batch_M2_N16_p0.8000_dephasing,2,16,0.8,dephasing,4,47,0.06766917293,0.0341796875,19456,ibm_torino,20,47,8,
batch_M2_N16_p0.9000_depolarizing,2,16,0.9,depolarizing,4,47,0.3138297872,0.03059895833,24576,ibm_torino,20,47,8,
batch_M2_N16_p0.9000_dephasing,2,16,0.9,dephasing,4,47,0.06182380216,0.03159179688,20480,ibm_torino,20,47,8,
